"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Sweet. Time to use this on the whole #PiliPinasDebates2016 discussion. https://t.co/KqY1lHKLa6",FALSE,0,NA,2016-03-04 04:01:49,FALSE,NA,"705604133760282624",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","WorstSupportPH",0,FALSE,FALSE,NA,NA
"2","RT @xpeanutgalleryx: hi garci, what's good?? #PiliPinasDebates2016  https://t.co/WB6bjDHpiM",FALSE,0,NA,2016-03-04 04:01:24,FALSE,NA,"705604028281987072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iwriteasiwrite",2,TRUE,FALSE,NA,NA
"3","hi garci, what's good?? #PiliPinasDebates2016  https://t.co/WB6bjDHpiM",FALSE,0,NA,2016-03-04 04:00:44,FALSE,NA,"705603858790092800",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","xpeanutgalleryx",2,FALSE,FALSE,NA,NA
"4",".@COMELEC @twitter launch emojis for #PiliPinas #PiliPinasDebates2016",FALSE,0,NA,2016-03-04 04:00:02,FALSE,NA,"705603683220746240",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","gerardnaval",0,FALSE,FALSE,NA,NA
"5","RT @imdanielpadilla: Good Luck Kuya MAR ! #MarwithaPlan #PiliPinasDebates2016",FALSE,0,NA,2016-03-04 03:58:22,FALSE,NA,"705603263177977856",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bebe_sato",3308,TRUE,FALSE,NA,NA
"6","RT @imdanielpadilla: Good Luck Kuya MAR ! #MarwithaPlan #PiliPinasDebates2016",FALSE,0,NA,2016-03-04 03:57:43,FALSE,NA,"705603101240197120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MylaPobre",3308,TRUE,FALSE,NA,NA
"7","RT @imdanielpadilla: Good Luck Kuya MAR ! #MarwithaPlan #PiliPinasDebates2016",FALSE,0,NA,2016-03-04 03:57:13,FALSE,NA,"705602976375664641",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","siopao0608",3308,TRUE,FALSE,NA,NA
"8","RT @NognogNaPandak: ""Okay, class. The project is due next week.""
Duterte: ""Sus ma'am..... I'll do it in three days.""

#PiliPinasDebates2016",FALSE,0,NA,2016-03-04 03:53:15,FALSE,NA,"705601977854504960",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EllaEllababes",116,TRUE,FALSE,NA,NA
"9","RT @imdanielpadilla: Good Luck Kuya MAR ! #MarwithaPlan #PiliPinasDebates2016",FALSE,0,NA,2016-03-04 03:52:42,FALSE,NA,"705601837773168641",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SShine26",3308,TRUE,FALSE,NA,NA
"10","RT @xpeanutgalleryx: #PiliPinasDebates2016 

kids. google pepsi paloma rape case, quick!!!

 https://t.co/mCn7xTxUM3",FALSE,0,NA,2016-03-04 03:52:15,FALSE,NA,"705601724363354112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","angie521_g",3,TRUE,FALSE,NA,NA
"11","RT @Senyora: Oo nga GMA! 1 more hour! Wala rin naman masyado nanonood nung ibang shows n'yo. #sorrynotsorry #PiliPinasDebates2016",FALSE,0,NA,2016-03-04 03:51:23,FALSE,NA,"705601509195558912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VicerylleArlene",5982,TRUE,FALSE,NA,NA
"12","RT @xpeanutgalleryx: #PiliPinasDebates2016 

kids. google pepsi paloma rape case, quick!!!

 https://t.co/mCn7xTxUM3",FALSE,0,NA,2016-03-04 03:49:39,FALSE,NA,"705601073113751553",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","leezhernani",3,TRUE,FALSE,NA,NA
"13","RT @imdanielpadilla: Good Luck Kuya MAR ! #MarwithaPlan #PiliPinasDebates2016",FALSE,0,NA,2016-03-04 03:49:11,FALSE,NA,"705600954004074496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FayeGerongani",3308,TRUE,FALSE,NA,NA
"14","RT @imdanielpadilla: Good Luck Kuya MAR ! #MarwithaPlan #PiliPinasDebates2016",FALSE,0,NA,2016-03-04 03:47:28,FALSE,NA,"705600520950575104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aenile06",3308,TRUE,FALSE,NA,NA
"15","RT @imdanielpadilla: Good Luck Kuya MAR ! #MarwithaPlan #PiliPinasDebates2016",FALSE,0,NA,2016-03-04 03:44:24,FALSE,NA,"705599750138007552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kndgxx",3308,TRUE,FALSE,NA,NA
"16","RT @imdanielpadilla: Good Luck Kuya MAR ! #MarwithaPlan #PiliPinasDebates2016",FALSE,0,NA,2016-03-04 03:44:01,FALSE,NA,"705599651769159680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","3c6b89eaf2d1484",3308,TRUE,FALSE,NA,NA
"17","RT @imdanielpadilla: Good Luck Kuya MAR ! #MarwithaPlan #PiliPinasDebates2016",FALSE,0,NA,2016-03-04 03:42:01,FALSE,NA,"705599148968398848",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JAtamayo_",3308,TRUE,FALSE,NA,NA
"18","#PiliPinas #PiliPinasDebates2016",FALSE,0,"llaineydeguzman",2016-03-04 03:41:38,FALSE,"705597906162552832","705599052956577793","1724901","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","llaineydeguzman",0,FALSE,FALSE,NA,NA
"19","#PiliPinasDebates2016 

kids. google pepsi paloma rape case, quick!!!

 https://t.co/mCn7xTxUM3",FALSE,0,NA,2016-03-04 03:40:44,FALSE,NA,"705598826174754816",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","xpeanutgalleryx",3,FALSE,FALSE,NA,NA
"20","RT @imdanielpadilla: Good Luck Kuya MAR ! #MarwithaPlan #PiliPinasDebates2016",FALSE,0,NA,2016-03-04 03:40:43,FALSE,NA,"705598825193480192",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ChenRebola",3308,TRUE,FALSE,NA,NA
"21","RT @imdanielpadilla: Good Luck Kuya MAR ! #MarwithaPlan #PiliPinasDebates2016",FALSE,0,NA,2016-03-04 03:40:16,FALSE,NA,"705598708889493504",NA,"<a href=""http://www.dreamdevelopment.be"" rel=""nofollow"">MeTweets for Windows Phone</a>","barte_anne",3308,TRUE,FALSE,NA,NA
"22","RT @imdanielpadilla: Good Luck Kuya MAR ! #MarwithaPlan #PiliPinasDebates2016",FALSE,0,NA,2016-03-04 03:34:36,FALSE,NA,"705597284990365696",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","misciel_diot",3308,TRUE,FALSE,NA,NA
"23","RT @imdanielpadilla: Good Luck Kuya MAR ! #MarwithaPlan #PiliPinasDebates2016",FALSE,0,NA,2016-03-04 03:32:41,FALSE,NA,"705596803463286784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BateBate77",3308,TRUE,FALSE,NA,NA
"24","there's a duterte ad on the radio right now citing NUMBEO numbers. hahaha

lots of people got scammed w/ this one.

#PiliPinasDebates2016",FALSE,0,NA,2016-03-04 03:32:33,FALSE,NA,"705596767937499138",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","xpeanutgalleryx",0,FALSE,FALSE,NA,NA
"25","RT @imdanielpadilla: Good Luck Kuya MAR ! #MarwithaPlan #PiliPinasDebates2016",FALSE,0,NA,2016-03-04 03:31:50,FALSE,NA,"705596587829952512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","taiwanhomegirl",3308,TRUE,FALSE,NA,NA
